id,smiles,formula,charge
cpd00001,O,H2O,0
cpd00002,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O,C10H13N5O13P3,-3
cpd00003,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,C21H26N7O14P2,-1
cpd00004,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,C21H27N7O14P2,-2
cpd00005,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,C21H26N7O17P3,-4
cpd00006,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1,C21H25N7O17P3,-3
cpd00007,O=O,O2,0
cpd00008,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O,C10H13N5O10P2,-2
cpd00009,O=P([O-])([O-])O,HO4P,-2
cpd00010,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS,C21H32N7O16P3S,-4
cpd00011,O=C=O,CO2,0
cpd00012,O=P([O-])([O-])OP(=O)([O-])O,HO7P2,-3
cpd00013,[NH4+],H4N,1
cpd00014,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,C9H11N2O12P2,-3
cpd00015,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C,C27H31N9O15P2,-2
cpd00016,Cc1ncc(COP(=O)([O-])[O-])c(C=O)c1O,C8H8NO6P,-2
cpd00017,C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,C15H23N6O5S,1
cpd00018,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,C10H12N5O7P,-2
cpd00019,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O,C14H20N6O5S,0
cpd00020,CC(=O)C(=O)[O-],C3H3O3,-1
cpd00021,[Fe],Fe,0
cpd00022,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],C23H34N7O17P3S,-4
cpd00023,[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],C5H8NO4,-1
cpd00024,O=C([O-])CCC(=O)C(=O)[O-],C5H4O5,-2
cpd00025,OO,H2O2,0
cpd00026,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C15H22N2O17P2,-2
cpd00027,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,C6H12O6,0
cpd00029,CC(=O)[O-],C2H3O2,-1
cpd00030,[Mn+2],Mn,2
cpd00031,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C10H13N5O11P2,-2
cpd00032,O=C([O-])CC(=O)C(=O)[O-],C4H2O5,-2
cpd00033,[NH3+]CC(=O)[O-],C2H5NO2,0
cpd00034,[Zn+2],Zn,2
cpd00035,C[C@H]([NH3+])C(=O)[O-],C3H7NO2,0
cpd00036,O=C([O-])CCC(=O)[O-],C4H4O4,-2
cpd00037,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,C17H25N3O17P2,-2
cpd00038,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C10H13N5O14P3,-3
cpd00039,[NH3+]CCCC[C@H]([NH3+])C(=O)[O-],C6H15N2O2,1
cpd00040,O=CC(=O)[O-],C2HO3,-1
cpd00041,[NH3+][C@@H](CC(=O)[O-])C(=O)[O-],C4H6NO4,-1
cpd00042,[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-],C10H15N3O6S,-2
cpd00043,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C15H22N2O17P2,-2
cpd00044,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O,C10H11N5O13P2S,-4
cpd00045,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O,C10H11N5O10P2,-4
cpd00046,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1,C9H12N3O8P,-2
cpd00047,O=C[O-],CHO2,-1
cpd00048,O=S(=O)([O-])[O-],O4S,-2
cpd00049,*C(=O)O,CHO2R,0
cpd00050,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,C17H19N4O9P,-2
cpd00051,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-],C6H15N4O2,1
cpd00052,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1,C9H13N3O14P3,-3
cpd00053,NC(=O)CC[C@H]([NH3+])C(=O)[O-],C5H10N2O3,0
cpd00054,[NH3+][C@@H](CO)C(=O)[O-],C3H7NO3,0
cpd00055,C=O,CH2O,0
cpd00056,Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(N)n1,C12H17N4O7P2S,-1
cpd00057,*O,HOR,0
cpd00058,[Cu+2],Cu,2
cpd00059,O=C1O[C@H]([C@@H](O)CO)C(=O)C1O,C6H8O6,0
cpd00060,CSCC[C@H]([NH3+])C(=O)[O-],C5H11NO2S,0
cpd00061,C=C(OP(=O)([O-])[O-])C(=O)[O-],C3H2O6P,-3
cpd00062,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,C9H11N2O15P3,-4
cpd00063,[Ca+2],Ca,2
cpd00064,[NH3+]CCC[C@H]([NH3+])C(=O)[O-],C5H13N2O2,1
cpd00065,[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-],C11H12N2O2,0
cpd00066,[NH3+][C@@H](Cc1ccccc1)C(=O)[O-],C9H11NO2,0
cpd00067,[H+],H,1
cpd00068,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O,C10H12N4O14P3,-3
cpd00069,[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-],C9H11NO3,0
cpd00070,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-],C24H33N7O19P3S,-5
cpd00071,CC=O,C2H4O,0
cpd00072,O=P([O-])([O-])OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,C6H11O9P,-2
cpd00073,NC(N)=O,CH4N2O,0
cpd00074,[S],S,0
cpd00075,O=NO,HNO2,0
cpd00076,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C12H22O11,0
cpd00077,Oc1ccccc1O,C6H6O2,0
cpd00078,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-],C25H35N7O19P3S,-5
cpd00079,O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,C6H11O9P,-2
cpd00080,O=P([O-])([O-])OC[C@H](O)CO,C3H7O6P,-2
cpd00081,O=S([O-])O,HO3S,-1
cpd00082,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,C6H12O6,0
cpd00083,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C16H23N5O16P2,-2
cpd00084,[NH3+][C@@H](C[S-])C(=O)[O-],C3H6NO2S,-1
cpd00085,[NH3+]CCC(=O)[O-],C3H7NO2,0
cpd00086,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],C24H36N7O17P3S,-4
cpd00087,Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2,C19H21N7O6,-2
cpd00088,O=C1C(Cl)=CC(=Nc2ccc(O)cc2)C=C1Cl,C12H7Cl2NO2,0
cpd00089,O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,C6H11O9P,-2
cpd00090,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O,C10H12N4O11P2,-2
cpd00091,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,C9H11N2O9P,-2
cpd00092,O=C1CC=NC(=O)N1,C4H4N2O2,0
cpd00093,Nc1ccccc1C(=O)[O-],C7H6NO2,-1
cpd00094,CCC(=O)C(=O)[O-],C4H5O3,-1
cpd00095,O=C(CO)COP(=O)([O-])[O-],C3H5O6P,-2
cpd00096,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1,C9H13N3O11P2,-2
cpd00097,O=C([O-])c1cc(C(=O)[O-])c2c(n1)C(=O)C(=O)c1cc(C(=O)[O-])[nH]c1-2,C14H3N2O8,-3
cpd00098,C[N+](C)(C)CCO,C5H14NO,1
cpd00099,[Cl-],Cl,-1
cpd00100,OCC(O)CO,C3H8O3,0
cpd00101,O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H]1O,C5H9O8P,-2
cpd00102,O=C[C@H](O)COP(=O)([O-])[O-],C3H5O6P,-2
cpd00103,O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])O)[C@H](O)[C@@H]1O,C5H9O14P3,-4
cpd00104,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,C10H15N2O3S,-1
cpd00105,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,C5H10O5,0
cpd00106,O=C([O-])/C=C/C(=O)[O-],C4H2O4,-2
cpd00107,CC(C)C[C@H]([NH3+])C(=O)[O-],C6H13NO2,0
cpd00108,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,C6H12O6,0
